Taxon	x	y	logy
Ph	1.03367999521846	46921.8815372662	4.67137541872202
Ph	2.06960133883211	190176.917099994	5.27915780290393
Ph	2.71307752076983	612279.600741139	5.78694979033049
Pi	1.01255155101309	54258.5619508697	4.73446827919561
Pi	2.0518199748969	112192.935269858	5.04996551048596
Pi	3.05217859064013	199480.007172315	5.29989937516141
Pi	4.06236925467695	429887.633733788	5.63335495226187
HyMe	0.990586336740183	57925.4079254079	4.76286910088463
HyMe	2.08047934971012	137884.764807842	5.13951628267033
HyMe	4.07450242065627	383100.233100233	5.58331241623292
PhHy	0.992259876875262	65265.0768035384	4.81468085342376
PhHy	2.05914171298787	244303.986611679	5.3879305539539
PhHy	4.05713944175483	306951.16848963	5.48706929097461
PhHy	8.00732173809097	331322.096706712	5.52025040104278
PhHy	15.964377502839	328695.236387544	5.51679341011876
PiHy	1.03953738569123	72610.7226107226	4.86100075881046
PiHy	2.00935389396928	125948.837487299	5.10019416329756
PiHy	4.05253720638336	186767.079074771	5.27130032673256
PiHy	8.02133763672225	292791.823561054	5.46655894454517
Hy	1.01987328910406	86369.6132926903	4.93636097511208
Hy	2.03989600143446	159897.794513179	5.20384247351883
Hy	3.04527523758293	269203.873050027	5.43008130381403
Hy	4.0491901261132	472087.741318511	5.67402272327208
